"WP_NAME,C,50","WARD,C,5","PRECINCT,C,5","DISTRICT,C,10","POP_2010,N,10,0","TOWN,C,35","TOWN_ID,N,5,0","AREA_SQMI,N,19,11","AREA_ACRES,N,19,11","YEAR,N,10,0","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
Weymouth Town Precinct 8,,8,8,3102,WEYMOUTH,336,0.657,420.64,2012,1702263.9425,8253.2598978
Weymouth Town Precinct 9,,9,9,2906,WEYMOUTH,336,0.957,612.45,2012,2478507.10279,9109.89265542
Newbury Town Precinct 2,,2,2,3419,NEWBURY,205,10.822,6926.24,2012,28029591.9322,22814.0989543
Sharon Town Precinct 1,,1,1,3622,SHARON,266,1.987,1271.91,2012,5147268.76905,10505.4303722
Swansea Town Precinct 2,,2,2,3209,SWANSEA,292,1.177,753.08,2012,3047607.48754,14891.8252625
Wakefield Town Precinct 6,,6,6,3495,WAKEFIELD,305,1.584,1014.01,2012,4103578.57803,9529.05081669
Wakefield Town Precinct 7,,7,7,3409,WAKEFIELD,305,0.893,571.26,2012,2311830.42259,7383.83220896
Weymouth Town Precinct 3,,3,3,2915,WEYMOUTH,336,0.9,575.79,2012,2330140.73199,9947.18547526
Tewksbury Town Precinct 2,,2,2,3618,TEWKSBURY,295,1.451,928.76,2012,3758583.20878,11002.6215081
Tewksbury Town Precinct 2A,,2A,2A,3564,TEWKSBURY,295,2.176,1392.71,2012,5636100.18004,13572.5227694
Tewksbury Town Precinct 3,,3,3,3458,TEWKSBURY,295,4.575,2927.99,2012,11849214.958,18391.7628213
Northbridge Town Precinct 1,,1,1,3879,NORTHBRIDGE,216,6.965,4457.91,2012,18040595.5178,25752.979719
Salem City Ward 5 Precinct 1,5,1,5-1,3001,SALEM,258,0.417,266.58,2012,1078822.05944,7654.79212178
Salem City Ward 5 Precinct 2,5,2,5-2,2840,SALEM,258,0.207,132.19,2012,534954.759857,4123.36763456
Springfield City Ward 8 Precinct A,8,A,8-A,2483,SPRINGFIELD,281,2.653,1697.98,2012,6871491.06923,13485.3502386
Tewksbury Town Precinct 1,,1,1,3717,TEWKSBURY,295,2.842,1819.09,2012,7361622.8297,16162.0515468
Tewksbury Town Precinct 1A,,1A,1A,3761,TEWKSBURY,295,2.625,1679.71,2012,6797565.24482,12803.0702293
Walpole Town Precinct 2,,2,2,2882,WALPOLE,307,1.774,1135.51,2012,4595275.6802,11174.2331646
Walpole Town Precinct 7,,7,7,2942,WALPOLE,307,2.496,1597.29,2012,6464015.68694,11439.3619508
Palmer Town Precinct 1,,1,1,3067,PALMER,227,8.275,5295.83,2012,21431544.5307,23152.6286889
Palmer Town Precinct 3,,3,3,3064,PALMER,227,2.323,1486.53,2012,6015810.91109,14535.4652636
Palmer Town Precinct 4,,4,4,2899,PALMER,227,4.812,3079.83,2012,12463688.9863,15735.1966622
Wilmington Town Precinct 2,,2,2,3613,WILMINGTON,342,1.86,1190.28,2012,4816916.97749,10965.7888709
Wilmington Town Precinct 3,,3,3,3597,WILMINGTON,342,3.865,2473.6,2012,10010358.2742,15881.1289735
Northbridge Town Precinct 2,,2,2,3970,NORTHBRIDGE,216,3.437,2199.92,2012,8902780.38134,20167.2411447
Salem City Ward 1 Precinct 2,1,2,1-2,2844,SALEM,258,0.13,83.42,2012,337603.241602,2608.91287606
Salem City Ward 2 Precinct 1,2,1,2-1,3049,SALEM,258,0.295,188.6,2012,763244.32678,5746.05112906
Springfield City Ward 8 Precinct B,8,B,8-B,2500,SPRINGFIELD,281,0.604,386.42,2012,1563783.16422,7344.47375425
Springfield City Ward 8 Precinct C,8,C,8-C,2345,SPRINGFIELD,281,0.313,200.45,2012,811195.139558,4467.23431825
Springfield City Ward 8 Precinct D,8,D,8-D,2405,SPRINGFIELD,281,0.403,257.6,2012,1042478.48323,5384.14716073
Southampton Town Precinct 1,,1,1,5792,SOUTHAMPTON,276,28.952,18529.4,2012,74986128.5838,42962.0805947
Tolland Town Precinct 1,,1,1,485,TOLLAND,297,32.792,20986.7,2012,84930489.5235,38696.4111021
Tyringham Town Precinct 1,,1,1,327,TYRINGHAM,302,18.875,12079.86,2012,48885643.9391,29491.7611555
Weymouth Town Precinct 10,,10,10,2893,WEYMOUTH,336,1.085,694.09,2012,2808890.75668,11035.3096125
Pepperell Town Precinct 2,,2,2,3714,PEPPERELL,232,9.307,5956.67,2012,24105868.6676,23704.6595678
Springfield City Ward 6 Precinct C,6,C,6-C,2375,SPRINGFIELD,281,0.232,148.16,2012,599602.827097,3903.18819612
Salem City Ward 7 Precinct 1,7,1,7-1,3058,SALEM,258,0.37,236.57,2012,957383.93995,5509.07332657
Salem City Ward 7 Precinct 2,7,2,7-2,3068,SALEM,258,0.712,455.55,2012,1843538.46576,7997.30144933
Springfield City Ward 8 Precinct G,8,G,8-G,2488,SPRINGFIELD,281,0.895,572.64,2012,2317404.22914,8795.55699564
Springfield City Ward 8 Precinct H,8,H,8-H,2471,SPRINGFIELD,281,0.511,326.82,2012,1322588.91886,7670.21266032
Salem City Ward 2 Precinct 2,2,2,2-2,3016,SALEM,258,0.284,181.8,2012,735741.420862,4652.55840015
Salem City Ward 3 Precinct 1,3,1,3-1,3015,SALEM,258,0.474,303.21,2012,1227063.61855,5566.69383835
Springfield City Ward 7 Precinct C,7,C,7-C,2287,SPRINGFIELD,281,0.54,345.69,2012,1398950.21818,4928.52671873
Springfield City Ward 7 Precinct D,7,D,7-D,2374,SPRINGFIELD,281,0.668,427.43,2012,1729768.83256,5624.46281315
Springfield City Ward 7 Precinct E,7,E,7-E,2480,SPRINGFIELD,281,0.472,302.11,2012,1222614.49365,5399.39313589
Shrewsbury Town Precinct 1,,1,1,3719,SHREWSBURY,271,4.188,2680.05,2012,10845832.1426,15346.9136427
Warwick Town Precinct 1,,1,1,780,WARWICK,312,37.647,24094.24,2012,97506303.2329,43924.8921901
Washington Town Precinct 1,,1,1,538,WASHINGTON,313,38.797,24830.06,2012,100484077.489,46832.8113427
Weymouth Town Precinct 13,,13,13,3062,WEYMOUTH,336,0.632,404.42,2012,1636649.30071,6836.55818107
Weymouth Town Precinct 14,,14,14,2885,WEYMOUTH,336,1.274,815.28,2012,3299349.1708,8608.72979395
Springfield City Ward 6 Precinct D,6,D,6-D,2313,SPRINGFIELD,281,0.73,467.06,2012,1890139.72653,7101.35176387
Springfield City Ward 6 Precinct E,6,E,6-E,2365,SPRINGFIELD,281,0.169,108.01,2012,437087.161272,3554.02015691
Springfield City Ward 6 Precinct F,6,F,6-F,2365,SPRINGFIELD,281,0.159,101.81,2012,411997.115773,3476.49640421
Springfield City Ward 6 Precinct G,6,G,6-G,2442,SPRINGFIELD,281,0.193,123.34,2012,499131.529991,3663.49010015
Sharon Town Precinct 2,,2,2,3416,SHARON,266,5.592,3578.78,2012,14482884.4206,20521.9048789
Sharon Town Precinct 3,,3,3,3612,SHARON,266,4.626,2960.55,2012,11980965.2644,20374.6691602
Westford Town Precinct 5,,5,5,3574,WESTFORD,330,5.44,3481.7,2012,14089995.5225,18985.7512585
North Adams City Ward 3 Precinct 3,3,3,3-3,2775,NORTH ADAMS,209,4.669,2988.05,2012,12092260.0045,14884.5892667
Stoughton Town Precinct 6,,6,6,3534,STOUGHTON,285,1.347,861.88,2012,3487933.62449,10170.8728481
Stoughton Town Precinct 7,,7,7,3233,STOUGHTON,285,1.113,712.17,2012,2882075.41535,9898.18763573
Stoughton Town Precinct 8,,8,8,3470,STOUGHTON,285,0.774,495.65,2012,2005844.70386,7657.84402225
Stoughton Town Precinct 5,,5,5,3492,STOUGHTON,285,1.01,646.25,2012,2615277.74186,8237.11536045
Weymouth Town Precinct 1,,1,1,3068,WEYMOUTH,336,0.554,354.8,2012,1435826.702,7850.80707854
Weymouth Town Precinct 15,,15,15,2954,WEYMOUTH,336,0.862,551.47,2012,2231746.51056,9877.23439844
Weymouth Town Precinct 16,,16,16,3118,WEYMOUTH,336,2.391,1530.49,2012,6193691.78995,10609.4317311
Weymouth Town Precinct 17,,17,17,3058,WEYMOUTH,336,0.484,309.74,2012,1253473.38163,5243.55760025
Northbridge Town Precinct 3,,3,3,3879,NORTHBRIDGE,216,2.391,1530.02,2012,6191805.37653,13923.1880214
Springfield City Ward 4 Precinct E,4,E,4-E,2354,SPRINGFIELD,281,0.249,159.66,2012,646106.740355,4530.13107152
Springfield City Ward 4 Precinct F,4,F,4-F,2318,SPRINGFIELD,281,0.306,195.85,2012,792593.781476,4872.43496721
Springfield City Ward 4 Precinct G,4,G,4-G,2424,SPRINGFIELD,281,1.009,645.59,2012,2612616.56279,7488.1082927
Stoughton Town Precinct 1,,1,1,3217,STOUGHTON,285,3.461,2215.23,2012,8964739.16879,13018.8243541
Stoughton Town Precinct 2,,2,2,3290,STOUGHTON,285,1.537,983.5,2012,3980116.58142,11557.4804595
Westport Town Precinct A,,A,A,2987,WESTPORT,334,6.325,4047.9,2012,16381343.1502,27663.1477061
Westport Town Precinct C,,C,C,3083,WESTPORT,334,4.364,2792.68,2012,11301628.9621,15773.7559102
Weymouth Town Precinct 4,,4,4,2948,WEYMOUTH,336,0.867,554.9,2012,2245598.04949,11902.2747853
Weymouth Town Precinct 5,,5,5,3096,WEYMOUTH,336,0.496,317.52,2012,1284965.03709,7136.8803307
Northampton City Ward 6 Precinct A,6,A,6-A,2044,NORTHAMPTON,214,1.177,753.04,2012,3047438.5214,9909.04409237
Weymouth Town Precinct 2,,2,2,2877,WEYMOUTH,336,0.706,452.03,2012,1829301.17556,14506.1734906
Northbridge Town Precinct 4,,4,4,3979,NORTHBRIDGE,216,5.261,3367.02,2012,13625912.6166,19771.8219181
Springfield City Ward 3 Precinct B,3,B,3-B,2294,SPRINGFIELD,281,0.19,121.72,2012,492584.094284,4430.59793555
Springfield City Ward 4 Precinct H,4,H,4-H,2376,SPRINGFIELD,281,0.148,94.85,2012,383829.392623,2915.51791784
Springfield City Ward 5 Precinct A,5,A,5-A,2283,SPRINGFIELD,281,0.507,324.27,2012,1312288.23307,6471.28302138
Springfield City Ward 5 Precinct B,5,B,5-B,2422,SPRINGFIELD,281,0.571,365.13,2012,1477621.81077,6243.32660894
Springfield City Ward 5 Precinct C,5,C,5-C,2346,SPRINGFIELD,281,0.463,296.03,2012,1197979.23244,5423.40164715
Springfield City Ward 8 Precinct E,8,E,8-E,2464,SPRINGFIELD,281,0.411,263.11,2012,1064774.63348,5954.669381
Springfield City Ward 8 Precinct F,8,F,8-F,2487,SPRINGFIELD,281,0.943,603.6,2012,2442678.98454,8137.67460339
Westport Town Precinct D,,D,D,3043,WESTPORT,334,7.362,4711.59,2012,19067202.7839,25861.5250705
Weymouth Town Precinct 11,,11,11,3061,WEYMOUTH,336,0.793,507.48,2012,2053706.62007,8510.3901366
Weymouth Town Precinct 12,,12,12,2999,WEYMOUTH,336,1.418,907.67,2012,3673213.54649,11709.8335621
Springfield City Ward 5 Precinct E,5,E,5-E,2475,SPRINGFIELD,281,0.468,299.76,2012,1213078.4281,4889.89131684
Springfield City Ward 5 Precinct F,5,F,5-F,2369,SPRINGFIELD,281,0.8,511.97,2012,2071867.0811,6692.57999229
Springfield City Ward 5 Precinct G,5,G,5-G,2468,SPRINGFIELD,281,1.181,755.71,2012,3058251.34196,9207.69223763
Springfield City Ward 5 Precinct H,5,H,5-H,2405,SPRINGFIELD,281,0.563,360.07,2012,1457170.50723,7684.20300929
Springfield City Ward 6 Precinct A,6,A,6-A,2294,SPRINGFIELD,281,0.202,129.47,2012,523967.772296,4401.1174756
Springfield City Ward 6 Precinct B,6,B,6-B,2279,SPRINGFIELD,281,1.625,1039.86,2012,4208168.90137,10110.9877832
Springfield City Ward 3 Precinct C,3,C,3-C,2320,SPRINGFIELD,281,0.457,292.21,2012,1182550.80291,8237.53958644
Springfield City Ward 3 Precinct D,3,D,3-D,2409,SPRINGFIELD,281,0.202,129.25,2012,523063.641882,4109.78600168
Springfield City Ward 3 Precinct E,3,E,3-E,2308,SPRINGFIELD,281,0.166,106.04,2012,429143.403238,2763.42846754
Springfield City Ward 3 Precinct F,3,F,3-F,2453,SPRINGFIELD,281,0.156,99.79,2012,403837.348159,3118.28282147
Springfield City Ward 3 Precinct G,3,G,3-G,2430,SPRINGFIELD,281,0.127,80.99,2012,327751.672561,2894.34434846
Springfield City Ward 7 Precinct F,7,F,7-F,2370,SPRINGFIELD,281,1.453,929.77,2012,3762643.95335,11629.3102518
Springfield City Ward 7 Precinct G,7,G,7-G,2358,SPRINGFIELD,281,1.27,812.81,2012,3289350.92527,7704.42796429
Westfield City Ward 2 Precinct B,2,B,2-B,3310,WESTFIELD,329,1.198,766.46,2012,3101772.12957,10085.5434885
Westfield City Ward 3 Precinct A,3,A,3-A,3288,WESTFIELD,329,0.406,260.11,2012,1052649.26007,4572.11914766
Dracut Town Precinct 3,,3,3,3170,DRACUT,79,2.256,1443.97,2012,5843581.9519,11866.3144352
Dracut Town Precinct 2,,2,2,3135,DRACUT,79,0.857,548.19,2012,2218450.5557,7804.37788347
Dracut Town Precinct 9,,9,9,3338,DRACUT,79,1.702,1089.1,2012,4407435.47407,10301.6701952
Northampton City Ward 7 Precinct A,7,A,7-A,1946,NORTHAMPTON,214,4.152,2657.42,2012,10754250.5055,20189.9637946
Dunstable Town Precinct 1,,1,1,3179,DUNSTABLE,81,16.759,10725.62,2012,43405221.2371,30646.3633159
Bolton Town Precinct 1,,1,1,4897,BOLTON,34,20.085,12854.68,2012,52021235.1264,28769.1132422
Sherborn Town Precinct 1,,1,1,4119,SHERBORN,269,16.187,10359.93,2012,41925320.1088,30428.7895305
Springfield City Ward 6 Precinct H,6,H,6-H,2406,SPRINGFIELD,281,0.385,246.39,2012,997108.433792,4356.82733379
Springfield City Ward 7 Precinct A,7,A,7-A,2309,SPRINGFIELD,281,0.696,445.48,2012,1802813.94768,6936.06393385
Springfield City Ward 7 Precinct B,7,B,7-B,2288,SPRINGFIELD,281,0.583,373.15,2012,1510107.43215,9025.25725509
Westborough Town Precinct 3,,3,3,3673,WESTBOROUGH,328,2.456,1572.08,2012,6362002.89281,15786.0063434
Springfield City Ward 7 Precinct H,7,H,7-H,2286,SPRINGFIELD,281,0.607,388.71,2012,1573046.17516,5737.56210389
West Boylston Town Precinct 1,,1,1,3854,WEST BOYLSTON,321,3.105,1987.08,2012,8041472.26207,18846.0632032
Westfield City Ward 1 Precinct A,1,A,1-A,3301,WESTFIELD,329,10.694,6844.06,2012,27697041.1961,23727.7847152
Bernardston Town Precinct 1,,1,1,2129,BERNARDSTON,29,23.41,14982.46,2012,60632119.4922,31691.1139948
Dracut Town Precinct 5,,5,5,3146,DRACUT,79,1.215,777.47,2012,3146324.87779,6844.77431613
Dracut Town Precinct 6,,6,6,3383,DRACUT,79,1.254,802.3,2012,3246797.34422,7819.4430008
Northampton City Ward 4 Precinct B,4,B,4-B,2036,NORTHAMPTON,214,2.981,1907.85,2012,7720819.48247,14961.1336225
Northampton City Ward 5 Precinct A,5,A,5-A,2023,NORTHAMPTON,214,0.554,354.82,2012,1435898.34134,5972.93980515
Merrimac Town Precinct 1,,1,1,3210,MERRIMAC,180,3.518,2251.3,2012,9110740.49045,13871.0664578
Merrimac Town Precinct 2,,2,2,3128,MERRIMAC,180,5.338,3416.19,2012,13824892.9772,18708.8602314
Richmond Town Precinct 1,,1,1,1475,RICHMOND,249,19.008,12165.28,2012,49231327.8924,32447.5236513
Sandisfield Town Precinct 1,,1,1,915,SANDISFIELD,260,52.979,33906.43,2012,137215008.837,51947.5689587
Sheffield Town Precinct 1,,1,1,3257,SHEFFIELD,267,48.566,31081.98,2012,125784807.688,48416.64681
Boston City Ward 19 Precinct 5,19,5,19-5,1783,BOSTON,35,0.10115674,64.74031261,2016,261994.749859,2580.37504578
Boston City Ward 19 Precinct 3,19,3,19-3,1469,BOSTON,35,0.30357211,194.28614991,2016,786248.153547,5273.27098186
Boston City Ward 14 Precinct 2,14,2,14-2,3798,BOSTON,35,0.18642814,119.31401225,2016,482846.676747,4965.76423082
Boston City Ward 14 Precinct 7,14,7,14-7,2002,BOSTON,35,0.08596104,55.01506755,2016,222638.079445,2996.50724863
Boston City Ward 14 Precinct 9,14,9,14-9,2036,BOSTON,35,0.08661476,55.43344817,2016,224331.205751,2077.51912339
Boston City Ward 14 Precinct 13,14,13,14-13,1677,BOSTON,35,0.07568302,48.43713186,2016,196018.118154,2812.36726316
Boston City Ward 14 Precinct 12,14,12,14-12,1114,BOSTON,35,0.06499456,41.59651734,2016,168335.133353,2047.62073294
Boston City Ward 14 Precinct 10,14,10,14-10,2932,BOSTON,35,0.20046239,128.29592762,2016,519195.198672,3227.30253307
Boston City Ward 14 Precinct 5,14,5,14-5,2079,BOSTON,35,0.08110493,51.90715606,2016,210060.807861,2156.85772698
Boston City Ward 14 Precinct 14,14,14,14-14,1886,BOSTON,35,0.10338118,66.16395661,2016,267756.032733,2967.30288047
Boston City Ward 16 Precinct 1,16,1,16-1,2073,BOSTON,35,0.11471482,73.41748573,2016,297110.023644,2428.45112861
Boston City Ward 17 Precinct 1,17,1,17-1,1892,BOSTON,35,0.08809549,56.38111218,2016,228166.265912,2096.8070756
Boston City Ward 17 Precinct 2,17,2,17-2,1318,BOSTON,35,0.05337766,34.16170116,2016,138247.499757,1657.54262106
Boston City Ward 16 Precinct 7,16,7,16-7,1900,BOSTON,35,0.11038028,70.64338094,2016,285883.619875,2346.27603844
Boston City Ward 16 Precinct 5,16,5,16-5,1404,BOSTON,35,0.11843777,75.80017376,2016,306752.420009,2949.70085966
Boston City Ward 16 Precinct 3,16,3,16-3,2298,BOSTON,35,0.09835815,62.94921839,2016,254746.448735,3060.11542528
Boston City Ward 16 Precinct 9,16,9,16-9,2119,BOSTON,35,0.13833925,88.53711904,2016,358297.008812,2677.97901065
Boston City Ward 17 Precinct 6,17,6,17-6,1936,BOSTON,35,0.10718815,68.60041684,2016,277616.037474,3044.24235354
Boston City Ward 17 Precinct 9,17,9,17-9,1281,BOSTON,35,0.08743573,55.95886797,2016,226457.504223,1947.05396289
Boston City Ward 17 Precinct 11,17,11,17-11,996,BOSTON,35,0.03952736,25.29750936,2016,102375.388218,1589.34840686
Boston City Ward 16 Precinct 4,16,4,16-4,2949,BOSTON,35,0.07348693,47.03163788,2016,190330.285792,2094.86136768
Boston City Ward 16 Precinct 6,16,6,16-6,2916,BOSTON,35,0.10197443,65.26363589,2016,264112.564034,2169.35340608
Boston City Ward 16 Precinct 8,16,8,16-8,1977,BOSTON,35,0.1299232,83.1508458,2016,336499.53437,2597.85273479
Boston City Ward 16 Precinct 11,16,11,16-11,1939,BOSTON,35,0.30322922,194.06670266,2016,785360.082048,3636.23673773
Boston City Ward 17 Precinct 5,17,5,17-5,1394,BOSTON,35,0.07414588,47.45336565,2016,192036.95754,2065.91931489
Middlefield Town Precinct 1,,1,1,521,MIDDLEFIELD,183,24.138,15448.47,2012,62517978.6379,34435.8669381
Monterey Town Precinct 1,,1,1,961,MONTEREY,193,27.395,17532.53,2012,70951917.0067,34086.9841771
Oak Bluffs Town Precinct 1,,1,1,4527,OAK BLUFFS,221,7.424,4751.41,2012,19228344.6111,36904.1270672
Sunderland Town Precinct 1,,1,1,3684,SUNDERLAND,289,14.75,9440.27,2012,38203570.4629,26690.7798599
Stockbridge Town Precinct 1,,1,1,1947,STOCKBRIDGE,283,23.675,15151.91,2012,61317863.3146,32759.5647462
West Stockbridge Town Precinct 1,,1,1,1306,WEST STOCKBRIDGE,326,18.683,11957.1,2012,48388846.7924,32493.6134215
Windsor Town Precinct 1,,1,1,899,WINDSOR,345,35.164,22505.12,2012,91075357.5248,39091.6782945
Wendell Town Precinct 1,,1,1,848,WENDELL,319,32.212,20615.57,2012,83428587.2962,39468.693015
Ashfield Town Precinct 1,,1,1,1737,ASHFIELD,13,40.253,25761.89,2012,104255099.656,41137.881374
Avon Town Precinct 1,,1,1,4356,AVON,18,4.537,2903.81,2012,11751368.5156,14924.6920237
Boston City Ward 17 Precinct 8,17,8,17-8,1789,BOSTON,35,0.12298864,78.71272892,2016,318539.112571,2311.6029444
Boston City Ward 17 Precinct 7,17,7,17-7,1080,BOSTON,35,0.07522624,48.14479376,2016,194835.067849,2186.22688118
Boston City Ward 17 Precinct 10,17,10,17-10,2580,BOSTON,35,0.1182097,75.6542082,2016,306161.71834,2978.06491738
Boston City Ward 17 Precinct 12,17,12,17-12,1308,BOSTON,35,0.08123564,51.99080816,2016,210399.335908,2272.77350492
Boston City Ward 17 Precinct 4,17,4,17-4,2725,BOSTON,35,0.18039954,115.45570282,2016,467232.652469,3046.29787559
Boston City Ward 18 Precinct 2,18,2,18-2,2394,BOSTON,35,0.16316159,104.42341706,2016,422586.575969,3711.61569581
Boston City Ward 18 Precinct 21,18,21,18-21,2903,BOSTON,35,0.27148245,173.74876759,2016,703136.316025,4925.38987378
Boston City Ward 18 Precinct 7,18,7,18-7,2230,BOSTON,35,0.52932648,338.76894686,2016,1370949.2883,5070.75797136
Boston City Ward 18 Precinct 8,18,8,18-8,3991,BOSTON,35,0.4195618,268.51955082,2016,1086660.06876,4653.93162639
Boston City Ward 18 Precinct 9,18,9,18-9,1984,BOSTON,35,0.1904089,121.8616967,2016,493156.789949,3743.47610984
Boston City Ward 18 Precinct 10,18,10,18-10,2988,BOSTON,35,0.20825884,133.2856595,2016,539387.927149,3664.55497816
Boston City Ward 18 Precinct 11,18,11,18-11,1964,BOSTON,35,0.46081827,294.92369143,2016,1193513.83479,4590.53247229
Boston City Ward 18 Precinct 13,18,13,18-13,1519,BOSTON,35,0.12803066,81.93962438,2016,331597.895159,3072.49043332
Boston City Ward 18 Precinct 14,18,14,18-14,1727,BOSTON,35,0.13888787,88.88823834,2016,359717.938217,2944.48246507
Boston City Ward 18 Precinct 22,18,22,18-22,2246,BOSTON,35,0.27236731,174.3150771,2016,705428.089276,3435.67525644
Boston City Ward 18 Precinct 5,18,5,18-5,2477,BOSTON,35,0.17944412,114.84423684,2016,464758.137434,3157.47853858
Boston City Ward 18 Precinct 6,18,6,18-6,2582,BOSTON,35,0.19991779,127.94738348,2016,517784.690561,3734.35394482
Boston City Ward 18 Precinct 15,18,15,18-15,2328,BOSTON,35,0.21205523,135.71534772,2016,549220.526555,3641.83863792
Boston City Ward 18 Precinct 19,18,19,18-19,3519,BOSTON,35,0.75139879,480.8952265,2016,1946113.93587,7600.9180528
Chesterfield Town Precinct 1,,1,1,1222,CHESTERFIELD,60,31.252,20001.22,2012,80942406.0888,42496.9453048
Cummington Town Precinct 1,,1,1,872,CUMMINGTON,69,23.031,14740.09,2012,59651266.3677,33564.5031525
Edgartown Town Precinct 1,,1,1,4067,EDGARTOWN,89,27.138,17368.51,2012,70288133.2163,146417.041338
Tisbury Town Precinct 1,,1,1,3949,TISBURY,296,6.572,4206.25,2012,17022167.4111,41001.5405591
West Tisbury Town Precinct 1,,1,1,2740,WEST TISBURY,327,26.381,16883.62,2012,68325856.4106,36817.5673831
Hancock Town Precinct 1,,1,1,717,HANCOCK,121,35.733,22869.35,2012,92549364.98,57654.1953496
Hinsdale Town Precinct 1,,1,1,2032,HINSDALE,132,21.697,13886.2,2012,56195692.317,37252.434544
Leyden Town Precinct 1,,1,1,711,LEYDEN,156,18.02,11532.6,2012,46670968.6756,31515.4851448
Monroe Town Precinct 1,,1,1,121,MONROE,190,10.785,6902.44,2012,27933276.176,23551.2932951
New Salem Town Precinct 1,,1,1,990,NEW SALEM,204,58.663,37544.46,2012,151937661.658,84903.7841262
Northfield Town Precinct 1,,1,1,3032,NORTHFIELD,217,35.37,22637.05,2012,91609257.9868,48048.2951811
Rowe Town Precinct 1,,1,1,393,ROWE,253,24.032,15380.4,2012,62242531.6666,39806.5545998
Hadley Town Precinct 1,,1,1,5250,HADLEY,117,24.605,15747.35,2012,63727536.6304,50440.2963102
Boston City Ward 19 Precinct 11,19,11,19-11,2022,BOSTON,35,0.103551,66.27263722,2016,268195.847549,2952.08305811
Boston City Ward 19 Precinct 13,19,13,19-13,2472,BOSTON,35,0.09985436,63.90679225,2016,258621.612657,3258.91232236
Boston City Ward 19 Precinct 12,19,12,19-12,1400,BOSTON,35,0.12332885,78.93046329,2016,319420.252281,2835.81580073
Boston City Ward 20 Precinct 4,20,4,20-4,1416,BOSTON,35,0.14837272,94.9585435,2016,384283.591606,3543.17567818
Boston City Ward 20 Precinct 9,20,9,20-9,1856,BOSTON,35,0.15795753,101.09282169,2016,409108.1347,3053.53156716
Boston City Ward 20 Precinct 7,20,7,20-7,1340,BOSTON,35,0.13669214,87.48296677,2016,354031.005908,3663.94607438
Boston City Ward 20 Precinct 19,20,19,20-19,1326,BOSTON,35,0.14656242,93.79994621,2016,379594.914743,2915.89563201
Boston City Ward 20 Precinct 6,20,6,20-6,2351,BOSTON,35,0.46979168,300.66667216,2016,1216754.85322,5073.32724122
Boston City Ward 20 Precinct 20,20,20,20-20,2868,BOSTON,35,0.41318416,264.43786196,2016,1070142.05998,4933.40406762
Boston City Ward 20 Precinct 13,20,13,20-13,1194,BOSTON,35,0.12288858,78.6486929,2016,318279.967984,2992.62438576
Boston City Ward 20 Precinct 16,20,16,20-16,2506,BOSTON,35,0.35656727,228.20305315,2016,923504.99125,4703.03233861
Boston City Ward 20 Precinct 10,20,10,20-10,1929,BOSTON,35,0.40722878,260.62641615,2016,1054717.68603,5650.04470634
Boston City Ward 20 Precinct 5,20,5,20-5,3617,BOSTON,35,0.69132261,442.44647149,2016,1790517.34473,10266.9702976
Boston City Ward 17 Precinct 3,17,3,17-3,2718,BOSTON,35,0.14649017,93.75370854,2016,379407.797538,4009.95577453
Boston City Ward 11 Precinct 10,11,10,11-10,1748,BOSTON,35,0.08139437,52.09239393,2016,210810.438949,2406.27855248
Boston City Ward 11 Precinct 9,11,9,11-9,1102,BOSTON,35,0.06890243,44.09755682,2016,178456.481036,2356.805225
Lenox Town Precinct 1,,1,1,5025,LENOX,152,21.669,13868.39,2012,56123610.2022,37451.2021732
Mount Washington Town Precinct 1,,1,1,167,MOUNT WASHINGTON,195,22.367,14315.12,2012,57931476.3865,31610.4495413
Hopedale Town Precinct 1,,1,1,5911,HOPEDALE,138,5.342,3418.9,2012,13835846.1512,19961.3915194
Hubbardston Town Precinct 1,,1,1,4382,HUBBARDSTON,140,41.998,26878.77,2012,108774960.534,42243.8405001
Phillipston Town Precinct 1,,1,1,1682,PHILLIPSTON,235,24.636,15766.96,2012,63806859.952,42875.3463808
Princeton Town Precinct 1,,1,1,3413,PRINCETON,241,35.806,22915.81,2012,92737352.5965,42941.0703382
Warren Town Precinct A,,A,A,5135,WARREN,311,27.648,17694.72,2012,71608289.9002,34469.2081314
Boxborough Town Precinct 1,,1,1,4996,BOXBOROUGH,37,10.407,6660.73,2012,26955135.0141,21191.0762474
Boston City Ward 19 Precinct 2,19,2,19-2,2289,BOSTON,35,0.90554495,579.5487675,2016,2345350.65183,9049.57875459
Boston City Ward 20 Precinct 17,20,17,20-17,2351,BOSTON,35,1.19170779,762.69298682,2016,3086509.01204,8025.8246141
Boston City Ward 20 Precinct 15,20,15,20-15,2485,BOSTON,35,0.33350725,213.44463932,2016,863779.80944,4057.47776574
Boston City Ward 19 Precinct 10,19,10,19-10,2324,BOSTON,35,0.18675304,119.52194515,2016,483688.151333,3260.32895061
Boston City Ward 18 Precinct 1,18,1,18-1,3130,BOSTON,35,0.32112257,205.51844215,2016,831703.62755,5427.03662391
Boston City Ward 17 Precinct 14,17,14,17-14,1775,BOSTON,35,0.14531468,93.00139801,2016,376363.304823,2696.15792307
Boston City Ward 18 Precinct 4,18,4,18-4,2436,BOSTON,35,0.22843729,146.19986723,2016,591649.871632,5235.39224253
Boston City Ward 20 Precinct 12,20,12,20-12,1293,BOSTON,35,0.17280034,110.59221567,2016,447550.818271,3197.25535852
